"contents","author","category","star_tweet"
"Netflix is betting on ‘90s kids nostalgia for learning with upcoming lineup https://t.co/OadMCvdz19 via @Polygon","@StefanKantor","edutainment",
"@Kariseen You travel a lot for work or you just be out here on ya Carmen Sandiego shit?","@DjAceBoogie","travel",
".@Snowden & girlfriend win best #Halloween costumes. #CarmenSandiego #Waldo https://t.co/hO9Zv6lCKr","@killswitchfilm","style",
"Safe flight Carmen San Diego 😂😊","@raphieeeee","travel",
"[Photographer]Waldo and Carmen Sandiego via /r/cosplay https://t.co/7P8CfpN5zn #cosplay https://t.co/JlpImTmMpN","@CosplayLove2","style",
"LRT Why bring Carmen SanDiego into this tacky ladies mayo madness tho... Carmen was a fly AF globe trotting WOC who's hat matched her fit..","@BitterSonicsFan","travel",
"One of my regrets in life is that I never appeared on #CarmenSanDiego #halloween","@jpetramala","style",
"Speaking of Where in the World, there is a Where in the World is Carmen Sandiego app! That's the only way I'd learn geography as a kid!","@Davis_R_Andrew","edutainment",
"@ThaDocta2017 I tried to reply but it does not look like it went thru! Can't wait to follow you, Carmen San Diego on your trip abroad!!!","@DisneyinME","travel",
"I didn't know Carmen Sandiego and Where's Waldo were friends? #whoknew #itsmonday #travel #chatacters http://t.co/9jt6wszcpj","@JessyRenshaw","pop culture",
"New @WizardWorld video is up! Day 2 with Carmen Sandiego and Wonder Woman! @AlyssaWisser https://t.co/jmNCLRCfEU","@shaezilla","pop culture",
"@JaMuzik yes you better haha giving me world traveler, giving me jet setter. You're giving me Carmen San Diego","@jeffdeguia_","travel",
"*rummages around for my Carmen Sandiego costume* https://t.co/xojO66XvT0","@Addy_Finch","style",
"New hat...I refer to it as my ""Carmen Sandiego"" hat. 🌎 https://t.co/zTj3T4UST2","@Sportzgurl52","style",
"We just learned that the three youngest faculty in my office haven't heard of Carmen Sandiego, and this meeting is no longer productive.","@petercoffey","edutainment",
